Rule,Name,FinalDisposition,PrimaryStage,SecondaryStage,SourceBasis,UserDisposition,OpenItems,Notes
R12,先行期を狙う前提,"CONFIRMED_RULE;EDGE_PROXIMITY_TBD",Phase,Setup,"S07;C01",OK,EDGE_PROXIMITY_TBD,"No fixed timeframe mapping"
R13,本格局面の確認,"CONFIRMED_RULE;PHASE_DETECTION_TBD;MA_DIRECTION_DETECTION_TBD;FIELD_TRANSITION_DETECTION_TBD",Phase,"Environment;Setup context","C03;USER_APPROVED_CLARIFICATION","OK / R13 REREVIEW CONFIRMED","PHASE_DETECTION_TBD;MA_DIRECTION_DETECTION_TBD;FIELD_TRANSITION_DETECTION_TBD","R13 rereview supersedes prior MA_ROLE_TBD; structure + MA + Fib/Field confirmation; Formation delegated to R28/R29"
R14,小ダウBR,"CONFIRMED_RULE;DETECTION_TBD",Trigger,"Phase;Setup","C01;S07",OK,SMALL_DOW_BR_DETECTION_TBD,"Semantics confirmed"
R15,意識の復活（小）,"CONFIRMED_RULE;DETECTION_TBD",Trigger,Phase,C01,OK,SMALL_AWARENESS_REVIVAL_DETECTION_TBD,"Separate from R19 Return Move"
R16,意識の復活（大）,"CONFIRMED_RULE;DETECTION_TBD",Trigger,"Phase;Environment",C01,OK,"SMALL_DOW_CYCLE_DETECTION_TBD;LineReturn=TBD","Semantics confirmed"
R17,中間TL・中ダウカウンターTL,"CONFIRMED_RULE;LINE_SELECTION_TBD",Environment,"Observation;Setup","C01;C03;USER_APPROVED_CLARIFICATION","OK / USER APPROVED CLARIFICATION","LINE_SELECTION_TBD;BreakDetector=TBD","Intermediate TL and middle-Dow counter TL are separate concepts"
R18,ラインBreak後の構造更新,"CONFIRMED_RULE;HIGH_LOW_DETECTION_TBD;LINE_SELECTION_TBD",Environment,Observation,"S05;USER_APPROVED_CLARIFICATION","OK / USER APPROVED CLARIFICATION","HIGH_LOW_DETECTION_TBD;LINE_SELECTION_TBD","Post-Break high/low -> redraw -> Field remap"
R19,リターンムーブ,"CONFIRMED_RULE;RETURN_DETECTION_TBD",Observation,"Downstream search context only","S06;S03;USER_REVIEW_APPROVED_CLARIFICATION","OK / 単なる現象として扱う",RETURN_MOVE_DETECTION_TBD,"Observation/Search Cue only"
R20,TL・CHの性質とBRの意味,"CONFIRMED_RULE;BR_DETECTION_TBD",Environment,"Observation;Trigger","S06;USER_APPROVED_CLARIFICATION","OK / USER APPROVED CLARIFICATION",BR_DETECTION_TBD,"TL/CH purpose difference retained; BR not standalone Entry"
R21,待機は分析結果,"REVIEW_DEFERRED;HOLD","TBD / HOLD","TBD / HOLD","C01;S07","HOLD / USER DIRECTIVE","Detailed semantics; stage; dependencies","Baseline/source preserved; reopen later"
R22,Entry・SL・TPを同時決定,"REVIEW_DEFERRED;HOLD","TBD / HOLD","TBD / HOLD","C02;C03","HOLD / USER DIRECTIVE","Detailed semantics; stage; dependencies","Baseline/source preserved; reopen later"
R23,SLの狭い型,"REVIEW_DEFERRED;HOLD","TBD / HOLD","TBD / HOLD",C02,"HOLD / USER DIRECTIVE","Detailed semantics; stage; dependencies","Baseline/source preserved; reopen later"
R24,SLの広い型,"REVIEW_DEFERRED;HOLD","TBD / HOLD","TBD / HOLD",C02,"HOLD / USER DIRECTIVE","Detailed semantics; stage; dependencies","Baseline/source preserved; reopen later"
R25,許容損失と取引量,"REVIEW_DEFERRED;HOLD","TBD / HOLD","TBD / HOLD",C02,"HOLD / USER DIRECTIVE","Detailed semantics; stage; dependencies","Baseline/source preserved; reopen later"
R26,TP,"REVIEW_DEFERRED;HOLD","TBD / HOLD","TBD / HOLD","C02;C03;C04","HOLD / USER DIRECTIVE","Detailed semantics; stage; dependencies","Baseline/source preserved; reopen later"
R27,RR,"REVIEW_DEFERRED;HOLD","TBD / HOLD","TBD / HOLD",C02,"HOLD / USER DIRECTIVE","Detailed semantics; stage; dependencies","Baseline/source preserved; reopen later"
R28,Reversal Formation,"CONFIRMED_RULE;REVERSAL_FORMATION_DETECTION_TBD","2-3 Setup","2-4 Trigger","C04;C03",OK,REVERSAL_FORMATION_DETECTION_TBD,"Formation recognition = Setup; Break/Action = Trigger candidate"
R29,Continuation Formation,"CONFIRMED_RULE;CONTINUATION_FORMATION_DETECTION_TBD","2-3 Setup","2-4 Trigger;2-8 Wait","C04;C03",OK,CONTINUATION_FORMATION_DETECTION_TBD,"Formation = Setup; unresolved Break = Wait; continuation Break = Trigger candidate"
R30,MA / non-Core auxiliary split,"R30-A=CONFIRMED_CORE;MA_DIRECTION_DETECTION_TBD | R30-B=OUT_OF_NODA_CORE;FUTURE_VALIDATION_CANDIDATE","R30-A=2-2 Phase","R30-A=2-1 Environment context only","C03;USER_APPROVED_CLARIFICATION","OK / R30-A REREVIEW CONFIRMED; R30-B Core exclusion retained",MA_DIRECTION_DETECTION_TBD,"R30-A MA is main-phase-only Core observation; R30-B remains outside Core"
R31,入力同定ゲート,"OPERATIONAL_CONTROL;HOLD",NONE,NONE,"[検証制御];02_野田式判断ルール台帳.md","HOLD / USER DIRECTIVE",Operational semantics not re-reviewed,"Not teacher trading rule; outside NODA strategy semantics"
R32,価格構造優先,"OPERATIONAL_CONTROL;HOLD",NONE,NONE,"[検証制御];02_野田式判断ルール台帳.md","HOLD / USER DIRECTIVE",Operational semantics not re-reviewed,"Not teacher trading rule; outside NODA strategy semantics"
R33,継続更新時の変更理由,"OPERATIONAL_CONTROL;HOLD",NONE,NONE,"[検証制御];02_野田式判断ルール台帳.md","HOLD / USER DIRECTIVE",Operational semantics not re-reviewed,"Not teacher trading rule; outside NODA strategy semantics"
R34,採点の透明化,"OPERATIONAL_CONTROL;HOLD",NONE,NONE,"[検証制御];02_野田式判断ルール台帳.md","HOLD / USER DIRECTIVE",Operational semantics not re-reviewed,"Not teacher trading rule; outside NODA strategy semantics"
R35,横断比較・一般化の制限,"OPERATIONAL_CONTROL;HOLD",NONE,NONE,"[検証制御];02_野田式判断ルール台帳.md","HOLD / USER DIRECTIVE",Operational semantics not re-reviewed,"Not teacher trading rule; outside NODA strategy semantics"
R36,FX・GOLD・指数の単位分離,"OPERATIONAL_CONTROL;HOLD",NONE,NONE,"[検証制御];02_野田式判断ルール台帳.md","HOLD / USER DIRECTIVE",Operational semantics not re-reviewed,"Not teacher trading rule; outside NODA strategy semantics"
R37,Entry正例テスト,"OPERATIONAL_CONTROL;HOLD",NONE,NONE,"[検証制御];02_野田式判断ルール台帳.md","HOLD / USER DIRECTIVE",Operational semantics not re-reviewed,"Not teacher trading rule; outside NODA strategy semantics"
